intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100
1,-0.010124395,0.0051816571,0.0204877097,-0.013997184,0.0048127541,0.0236226921,-0.014990815,0.0071594014,0.0293096181,-0.0167081,0.0043623668,0.0254328333,-0.019964549,0.0034048666,0.0267742824
2,-0.013631045,0.0036442434,0.0209195315,-0.015502924,0.0067059715,0.0289148673,-0.016725748,0.0052906038,0.0273069556,-0.016128206,0.022623585,0.0613753757,-0.020231244,0.0216990676,0.0636293789
3,-0.019771914,-0.005290369,0.0091911765,-0.026862444,-0.008519805,0.0098228346,-0.02963938,-0.007783673,0.0140720344,-0.025766207,0.0072974199,0.0403610469,-0.043735985,-0.005243993,0.0332479982
4,-0.028142504,-0.011540183,0.0050621384,-0.037711631,-0.016713289,0.0042850521,-0.047062242,-0.018829822,0.0094025972,-0.047601832,-0.015827123,0.0159475866,-0.07447784,-0.037726298,-0.000974757
5,-0.029302138,-0.008763735,0.0117746678,-0.037366986,-0.01225452,0.0128579464,-0.042177789,-0.009551555,0.0230746795,-0.044885393,-0.007210357,0.0304646793,-0.086246117,-0.040746647,0.0047528219
6,-0.001450081,0.0207855145,0.0430211096,0.0002758824,0.0279652516,0.0556546208,0.0051168676,0.0456473821,0.0861778965,-0.000496116,0.0456319375,0.0917599908,-0.021822981,0.0333759317,0.0885748447
7,-0.000425441,0.0271436107,0.054712662,0.0027260187,0.0371742036,0.0716223884,0.0155416103,0.0630342514,0.1105268926,0.0096922665,0.069399423,0.1291065796,-0.037173264,0.0649598169,0.1670928983
8,-0.002810937,0.0280880832,0.0589871039,0.0002606274,0.0386718669,0.0770831064,0.0126582851,0.0637941656,0.1149300461,-0.004155774,0.061814736,0.1277852457,-0.057911557,0.0430882795,0.144088116
9,0.0024236364,0.0339560019,0.0654883674,0.0038035262,0.0439091136,0.084014701,0.0143692683,0.0674616694,0.1205540705,0.0030424308,0.0742357393,0.1454290479,-0.045744308,0.0611290206,0.1680023488
10,0.0018126962,0.0383607727,0.0749088492,0.0034327122,0.0500430518,0.0966533914,0.019434404,0.0811146699,0.1427949357,0.0011992687,0.0827962601,0.1643932516,-0.042355732,0.0902850865,0.2229259049
11,-0.004208946,0.0359491444,0.0761072352,-0.004580563,0.0471121518,0.0988048666,0.0110112487,0.0777751496,0.1445390505,-0.004187558,0.0785088192,0.1612051965,-0.045616382,0.0689306119,0.1834776057
12,0.0017629421,0.0423112661,0.08285959,-0.000390409,0.0525677333,0.1055258755,0.0164417496,0.0869048357,0.1573679218,0.0063019723,0.087697385,0.1690927977,-0.023452848,0.0875650351,0.1985829182
13,-0.000658009,0.0437518793,0.088161768,-0.004246479,0.053372456,0.1109913911,0.0184628993,0.0889445,0.1594261006,0.0085039171,0.0866654528,0.1648269886,-0.011268869,0.0978414844,0.2069518376
14,-0.000401571,0.039408879,0.079219329,-0.001081007,0.050430157,0.1019413209,0.023573094,0.0877244355,0.151875777,0.0222013395,0.1031539012,0.1841064628,0.0063808107,0.1203436645,0.2343065183
15,-0.004218348,0.034828015,0.0738743778,-0.008226777,0.0429428386,0.0941124544,0.0097641913,0.073215084,0.1366659768,0.0037677763,0.0839515015,0.1641352266,-0.000542105,0.112959001,0.2264601067
16,-0.005591608,0.0339306452,0.0734528989,-0.01113494,0.0414103921,0.0939557242,0.0019662311,0.0675983706,0.13323051,-0.013490961,0.0684209909,0.1503329428,-0.022360593,0.0855393911,0.1934393752
17,-0.002281693,0.0416976916,0.085677076,-0.006273775,0.05187552,0.1100248148,0.0107829023,0.0838385812,0.1568942602,-0.005990127,0.0841605533,0.1743112337,-0.011653519,0.1075609012,0.2267753209
18,0.0244046812,0.0763467947,0.1282889082,0.0300138582,0.0991616826,0.168309507,0.0593257555,0.1413079849,0.2232902142,0.0535999933,0.1514761733,0.2493523532,0.0637892518,0.1931785303,0.3225678087
19,0.027025691,0.0820926367,0.1371595823,0.0353458431,0.1084933232,0.1816408034,0.0679904259,0.156536815,0.2450832042,0.0637671119,0.1730111026,0.2822550933,0.0848809101,0.238220254,0.391559598
20,0.0249399751,0.0839582542,0.1429765333,0.035894244,0.1140772497,0.1922602555,0.0685799047,0.161378596,0.2541772873,0.0643551829,0.1841970918,0.3040390007,0.0845859816,0.2540061874,0.4234263931
21,0.025606929,0.084666652,0.1437263751,0.0339291158,0.1113381863,0.1887472567,0.0669267109,0.1605472438,0.2541677766,0.0636567752,0.1795273626,0.2953979501,0.0932850446,0.2627108242,0.4321366037
22,0.0190105734,0.0782371425,0.1374637116,0.0319668864,0.1090436109,0.1861203355,0.0628754585,0.1577957894,0.2527161203,0.0466876246,0.1606491188,0.274610613,0.0745088349,0.2578319326,0.4411550304
23,0.0137666672,0.0758216565,0.1378766458,0.0193861092,0.0985886669,0.1777912247,0.049010734,0.1471311645,0.245251595,0.03129086,0.1494809699,0.2676710798,0.0738096242,0.2570940126,0.4403784009
24,0.0142473108,0.0766802472,0.1391131837,0.0215210407,0.0994744356,0.1774278305,0.0540961411,0.1488748011,0.2436534612,0.0384292752,0.156700185,0.2749710948,0.0833951476,0.2569604402,0.4305257328
25,0.0115603208,0.0749461353,0.1383319497,0.0159138989,0.0935132861,0.1711126733,0.0561237556,0.1505979989,0.2450722423,0.03146802,0.150578616,0.2696892119,0.0754592198,0.2522734039,0.429087588
26,0.0091547819,0.0727553409,0.1363558999,0.0157138912,0.0941234741,0.172533057,0.052461393,0.1503186984,0.2481760038,0.0382857404,0.1610369794,0.2837882184,0.0978543982,0.2758981248,0.4539418514
27,0.0094687792,0.0721626883,0.1348565974,0.01405106,0.0928497586,0.1716484572,0.0475348471,0.1444124246,0.2412900021,0.0353730545,0.1568439486,0.2783148428,0.0828990234,0.2617273804,0.4405557374
28,0.0067090716,0.0705768038,0.134444536,0.0081918846,0.0899136041,0.1716353235,0.038711813,0.1401184053,0.2415249975,0.014949209,0.1395474609,0.2641457128,0.057460918,0.235980297,0.4144996759
29,0.0095042869,0.0788817672,0.1482592474,0.0090874618,0.0980178897,0.1869483176,0.0492785009,0.1600958812,0.2709132615,0.0198091233,0.1631099994,0.3064108755,0.0646863971,0.2848683554,0.5050503136
30,0.0328020381,0.1078218197,0.1828416014,0.0384470405,0.1328828871,0.2273187338,0.0916748019,0.2079813891,0.3242879763,0.0717941998,0.2195804187,0.3673666375,0.1299913236,0.3625774843,0.5951636449
31,0.0353390043,0.1130603761,0.1907817478,0.0439016233,0.1427995987,0.2416975741,0.0917189097,0.2161587023,0.3405984948,0.0670038231,0.2313774715,0.3957511199,0.1175403601,0.3923371624,0.6671339647
32,0.0333848749,0.1151986261,0.1970123772,0.0422699317,0.1444574725,0.2466450134,0.0870958294,0.2153059885,0.3435161475,0.0601396313,0.2227475924,0.3853555535,0.1417997431,0.4030382081,0.664276673
33,0.0371429616,0.1226712556,0.2081995496,0.0441575227,0.1516394786,0.2591214345,0.0909706373,0.2283685845,0.3657665317,0.0582145291,0.2325980485,0.406981568,0.1337526158,0.4112924193,0.6888322228
34,0.0346182239,0.124008711,0.2133991981,0.0433986566,0.1566506314,0.2699026061,0.0865718643,0.2309428287,0.3753137931,0.0563513614,0.2474819259,0.4386124904,0.1241766717,0.4258005115,0.7274243514
35,0.0287594358,0.123634328,0.2185092201,0.0304500324,0.1513780075,0.2723059826,0.0699053702,0.2281775368,0.3864497034,0.0290513461,0.2496200422,0.4701887383,0.0718315506,0.4685412634,0.8652509762
36,0.0327211476,0.125390031,0.2180589144,0.0362592356,0.1531582634,0.2700572913,0.0807610971,0.2291659727,0.3775708483,0.0395176678,0.2464482724,0.453378877,0.0792465368,0.453302569,0.8273586013
37,0.0301883336,0.1236759965,0.2171636594,0.0319257017,0.148441439,0.2649571762,0.0786510072,0.2244716374,0.3702922677,0.0498089402,0.252080005,0.4543510699,0.0905083789,0.4625137679,0.8345191569
38,0.0287582587,0.123654902,0.2185515452,0.0300226813,0.1485574492,0.2670922171,0.0837660398,0.2326221734,0.381478307,0.0628555233,0.2712020714,0.4795486196,0.0969763939,0.4764077573,0.8558391208
39,0.0280991492,0.1234540655,0.2188089817,0.0263894703,0.1462924725,0.2661954747,0.0806132703,0.2314221346,0.3822309989,0.0491015467,0.2657488281,0.4823961095,0.062398939,0.4752725724,0.8881462058
40,0.028996159,0.1311869277,0.2333776964,0.0263905928,0.1557870574,0.2851835219,0.0792582289,0.2460276123,0.4127969958,0.04854665,0.2778997352,0.5072528205,0.0618702137,0.4946076918,0.92734517
41,0.0340493439,0.1417859638,0.2495225836,0.0352199354,0.170938312,0.3066566887,0.0925568578,0.2681915926,0.4438263274,0.0648509166,0.305583427,0.5463159374,0.0934096928,0.5639741139,1.0345385349
42,0.0601852864,0.1760671938,0.2919491012,0.0695098889,0.2152935546,0.3610772203,0.1455650107,0.3370713716,0.5285777326,0.1335619976,0.3983364336,0.6631108695,0.1547656017,0.6688170679,1.182868534
43,0.0660735264,0.1807672459,0.2954609655,0.0814706626,0.2257687703,0.3700668781,0.1567469249,0.344871453,0.5329959811,0.1460721765,0.4052628111,0.6644534456,0.1916405945,0.6829466332,1.1742526719
44,0.0636903332,0.1819999027,0.3003094721,0.0799364557,0.2280454392,0.3761544227,0.1552130547,0.3468782202,0.5385433857,0.1500091725,0.4078310245,0.6656528765,0.1929440684,0.668613645,1.1442832216
45,0.0697921621,0.1913384696,0.3128847771,0.080554993,0.2306568056,0.3807586182,0.1609533381,0.3493289773,0.5377046165,0.1489964801,0.409650731,0.670304982,0.1996342287,0.6821651082,1.1646959878
46,0.0747409744,0.2027222462,0.3307035179,0.0886689521,0.2478554139,0.4070418757,0.169992144,0.3759631506,0.5819341572,0.1493482097,0.4120244611,0.6747007126,0.192085637,0.6741181829,1.1561507288
47,0.0647554925,0.1960608952,0.3273662979,0.0750725965,0.2390546717,0.403036747,0.1458810463,0.3574224579,0.5689638695,0.1313225106,0.3988035557,0.6662846008,0.1791400424,0.7044150977,1.229690153
48,0.0733774814,0.2010868937,0.328796306,0.0834885285,0.2421316155,0.4007747024,0.1615451228,0.3620187644,0.5624924061,0.1527488737,0.4128324477,0.6729160216,0.2112540905,0.6926254712,1.1739968519
49,0.0743326156,0.2007293162,0.3271260168,0.080841803,0.2383603582,0.3958789135,0.1569192282,0.3523055273,0.5476918265,0.1462301109,0.3993840652,0.6525380194,0.2082921379,0.664598859,1.1209055801
50,0.0809520061,0.2029579971,0.3249639882,0.0846679634,0.2365830348,0.3884981063,0.169943055,0.3538553054,0.5377675559,0.1554648073,0.388533083,0.6216013587,0.2112198163,0.6240016411,1.0367834659
51,0.0796042572,0.2035772261,0.327550195,0.0731543929,0.2270557668,0.3809571407,0.1616638362,0.3445541925,0.5274445489,0.1370044196,0.3776162055,0.6182279913,0.182438527,0.5891889093,0.9959392917
52,0.077981278,0.2107971891,0.3436131002,0.0673077147,0.2315610275,0.3958143404,0.1588905606,0.3520924805,0.5452944005,0.1326989231,0.3845073194,0.6363157157,0.1651303847,0.5888827601,1.0126351354
53,0.0859292826,0.2268303968,0.3677315109,0.073401272,0.2475853749,0.4217694778,0.1690465136,0.3739875751,0.5789286366,0.1460680768,0.4041947985,0.6623215202,0.1926652166,0.638909228,1.0851532395
