intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100
1,0.0043293592,0.0080184052,0.0117074511,0.0076208215,0.012273959,0.0169270966,0.0125258523,0.0185859655,0.0246460788,0.0165856791,0.023836552,0.0310874248,0.0189350098,0.0278401672,0.0367453246
2,0.0085217612,0.0144804346,0.0204391079,0.0143765433,0.0218367618,0.0292969802,0.0250638277,0.0347065903,0.0443493529,0.0328095304,0.044451668,0.0560938056,0.0448730863,0.0575752871,0.0702774878
3,0.0122801861,0.0198745522,0.0274689182,0.0201027218,0.0292890021,0.0384752824,0.0374283877,0.0485787658,0.0597291439,0.0516629768,0.0646408477,0.0776187186,0.0664904938,0.0813498758,0.0962092578
4,0.0190050521,0.0268927013,0.0347803506,0.0287999037,0.0383281362,0.0478563688,0.0521965523,0.0635684644,0.0749403765,0.0705560369,0.0839026896,0.0972493423,0.0844305083,0.1001705103,0.1159105122
5,0.0252752796,0.0333544415,0.0414336034,0.037660512,0.0475219943,0.0573834765,0.064160157,0.076828925,0.089497693,0.0863517734,0.1010540482,0.115756323,0.1010705304,0.1181652376,0.1352599449
6,0.0298578795,0.0385065371,0.0471551948,0.0442010361,0.0548026867,0.0654043373,0.0733709847,0.0874887866,0.1016065885,0.0977251147,0.1148287964,0.1319324782,0.1115032543,0.1308128883,0.1501225224
7,0.033131937,0.0424316808,0.0517314247,0.0487401138,0.0600513966,0.0713626795,0.0777270759,0.0932288329,0.1087305899,0.1055471649,0.124089097,0.1426310291,0.120034825,0.1406459115,0.161256998
8,0.0361232238,0.0458634044,0.055603585,0.0530715686,0.0649178539,0.0767641392,0.0846399463,0.1005954855,0.1165510246,0.1127215282,0.1317369976,0.150752467,0.1282827015,0.1498473423,0.1714119831
9,0.0365289942,0.0468817728,0.0572345513,0.0539693251,0.0665545761,0.0791398272,0.085640126,0.1026828847,0.1197256434,0.1144618948,0.134710409,0.1549589233,0.1291922911,0.1522947668,0.1753972426
10,0.0361164803,0.0473032147,0.058489949,0.0536780978,0.0672633785,0.0808486592,0.0839098106,0.1019286696,0.1199475286,0.1122911106,0.1338752151,0.1554593195,0.126122417,0.1508333037,0.1755441904
11,0.0331994871,0.0453249139,0.0574503408,0.0506651432,0.0652565135,0.0798478838,0.079278576,0.098337696,0.1173968159,0.1071214134,0.1300790522,0.1530366909,0.120239125,0.1463867216,0.1725343183
12,0.0277563739,0.0409764587,0.0541965436,0.0442259689,0.0599260619,0.0756261548,0.070747996,0.0915121701,0.1122763442,0.0946048167,0.1191471504,0.1436894842,0.1083373444,0.1358298138,0.1633222831
13,0.0249518373,0.0389864364,0.0530210356,0.0400195469,0.056421772,0.0728239971,0.0631931505,0.0854815698,0.1077699891,0.085553684,0.1122740776,0.1389944712,0.1000976746,0.1294093942,0.1587211137
14,0.0231318612,0.0375318527,0.0519318442,0.0368927319,0.0539033803,0.0709140287,0.0571036151,0.0804601375,0.1038166599,0.0763748606,0.1049009616,0.1334270625,0.0904269779,0.1211447653,0.1518625527
15,0.0221480395,0.0366202389,0.0510924382,0.0347404827,0.0516280318,0.0685155809,0.0554146662,0.0784904524,0.1015662387,0.0720819367,0.1010134211,0.1299449056,0.081853735,0.1138628887,0.1458720423
16,0.0217354567,0.0359508058,0.050166155,0.0329268602,0.0497763173,0.0666257744,0.0506655012,0.0740194175,0.0973733339,0.0644699475,0.0939713334,0.1234727194,0.0740684018,0.1077536015,0.1414388011
17,0.0198446009,0.0343248999,0.0488051988,0.0312057086,0.0485086465,0.0658115843,0.0469238048,0.0712287553,0.0955337059,0.0576918446,0.0887008866,0.1197099286,0.0651330083,0.1004050233,0.1356770384
18,0.0177324554,0.032631512,0.0475305686,0.0291963738,0.0469130949,0.0646298161,0.0438289767,0.0684689548,0.0931089328,0.0533502323,0.0852555396,0.1171608468,0.0571571904,0.0935105931,0.1298639959
19,0.0170035054,0.0324420645,0.0478806236,0.0271316934,0.0456274556,0.0641232177,0.0431916102,0.068987805,0.0947839999,0.0497566613,0.0831251985,0.1164937356,0.0513973869,0.0888433021,0.1262892174
20,0.0164978367,0.0323935641,0.0482892915,0.0259351412,0.0450991299,0.0642631186,0.0403396786,0.0672987911,0.0942579036,0.0477452589,0.0827928802,0.1178405015,0.0468842527,0.0856748891,0.1244655255
21,0.0158839429,0.0321869956,0.0484900483,0.0246403894,0.0444700916,0.0642997937,0.0401496403,0.0678281703,0.0955067003,0.0450961532,0.0817000315,0.1183039099,0.0437802289,0.0838767761,0.1239733233
22,0.016040167,0.0327820543,0.0495239415,0.0258006535,0.0463251768,0.0668497002,0.0430285015,0.0717420349,0.1004555682,0.0474803576,0.0852514764,0.1230225952,0.0420300723,0.0834412405,0.1248524088
23,0.0157178392,0.0328147208,0.0499116023,0.0263331395,0.0474673364,0.0686015332,0.0457669597,0.0747544628,0.1037419659,0.0519828276,0.0897403112,0.1274977947,0.043069842,0.0852269645,0.1273840869
24,0.0156351869,0.0329598478,0.0502845086,0.0264434648,0.0479375674,0.06943167,0.0472921636,0.0764399217,0.1055876798,0.0552743058,0.0933270937,0.1313798816,0.045556709,0.0884771632,0.1313976175
25,0.0181953901,0.0355726468,0.0529499035,0.0285017192,0.050218689,0.0719356588,0.0519579012,0.0812954698,0.1106330384,0.0585525113,0.0967778306,0.1350031498,0.0493217845,0.0932563447,0.1371909049
26,0.0217479187,0.0390826865,0.0564174543,0.0314894458,0.0533593357,0.0752292255,0.0569542473,0.0866309082,0.1163075692,0.0624263809,0.1009837322,0.1395410835,0.0538821333,0.0984005525,0.1429189716
27,0.02352592,0.0410110495,0.0584961789,0.0339062457,0.0560847128,0.0782631798,0.061227441,0.0911684457,0.1211094505,0.065291154,0.1043689028,0.1434466516,0.0520490042,0.0983236658,0.1445983274
28,0.0247359901,0.0424716699,0.0602073496,0.0366705318,0.0593274255,0.0819843192,0.0645540794,0.0953414301,0.1261287809,0.0666839636,0.1066522143,0.146620465,0.0518849645,0.0996334537,0.1473819428
29,0.0243346586,0.0424176605,0.0605006624,0.0390752423,0.0624432132,0.085811184,0.0666582043,0.0982134986,0.1297687929,0.0659199981,0.1067767828,0.1476335676,0.0458077044,0.0957566485,0.1457055926
30,0.0251219772,0.0434944442,0.0618669111,0.0405024798,0.0643043627,0.0881062456,0.0664909801,0.098513564,0.130536148,0.0699640459,0.1108556703,0.1517472948,0.0494355718,0.0993293935,0.1492232151
31,0.0257979243,0.0444445991,0.063091274,0.0407560484,0.0649114278,0.0890668073,0.0671626966,0.0994113374,0.1316599781,0.0707016838,0.1122552286,0.1538087734,0.0506466584,0.1014867654,0.1523268724
32,0.0265872337,0.0455250156,0.0644627974,0.0413529154,0.065925214,0.0904975127,0.0634736711,0.0966222615,0.1297708519,0.0656146409,0.1084404232,0.1512662054,0.0456561055,0.0977214287,0.1497867519
